newspaper_name,headline,article_text,publish_date
The Denver Post,Trump administration fires all members of HIV/AIDS advisory council,"The remaining members of the Presidential Advisory Council on HIV/AIDS were fired en masse this week.

Months after a half-dozen members resigned in protest of the Trump administration’s position on health policies, the White House dismissed the rest through a form letter.

The notice “thanked me for my past service and said that my appointment was terminated, effective immediately,” said Patrick Sullivan, an epidemiologist at Emory University who works on HIV testing programs. He was appointed to a four-year term in May 2016.

The council, known by the acronym PACHA, has advised the White House on HIV/AIDS policies since its founding in 1995. Members, who are not paid, offer recommendations on the National HIV/AIDS Strategy, a five-year plan responding to the epidemic.

The group is designed to include “doctors, members of industry, members of the community and, very importantly, people living with HIV,” said Scott Schoettes, an attorney with the LGBT rights organization Lambda Legal. “Without it, you lose the community voice in policymaking.”

Schoettes was among those who quit in June, and he went out with a fiery commentary in Newsweek. “The Trump Administration has no strategy to address the ongoing HIV/AIDS epidemic, seeks zero input from experts to formulate HIV policy, and – most concerning – pushes legislation that will harm people living with HIV and halt or reverse important gains made in the fight against this disease,” he wrote in the column.

“We tried to stick it out,” Schoettes told The Washington Post on Friday. “The fact is you’re dealing with a public health issue. It’s not partisan at all.”

But the “writing was on the wall,” he continued. The Office of National AIDS Policy, established in 1993 during the Clinton administration, has not had a director since President Donald Trump took office. “The tipping point for me was the president’s approach to the Affordable Care Act,” Schoettes said. “It is of great importance for people living with HIV like myself.”

The council’s executive director, Kaye Hayes, confirmed in a statement that all remaining council members had received letters Wednesday “informing them that the administration was terminating their appointments.”

She did not address when the administration might begin to make new appointments to the council, which can number up to 25 members. Its most recent meeting took place in August, Sullivan said, and by November, an archived version of PACHA’s website shows the group was down to 10 members and two staff.

The website, which says it was updated Dec. 28, now shows two staff and no council members.

“Changing the makeup of federal advisory committee members is a common occurrence during administration changes,” Hayes said in the statement. “The Obama administration dismissed the George W. Bush administration appointees to PACHA in order to bring in new voices. All PACHA members are eligible to apply to serve on the new council that will be convened in 2018.”

The Washington Blade reported that termination letters were delivered without warning by way of FedEx. Gabriel Maldonado, chief executive of the LGBT and HIV/AIDS group Truevolution and a council member until this week, said he could only speculate why the final members were fired.

“Like any administration, they want their own people there,” Maldonado, an Obama appointee, told the Blade.

But Sullivan and Schoettes said that previous administrations had allowed members to serve full terms before appointing replacements. “It is important to have a rolling, transitioning body that crosses administrations that really has a set of diverse outlooks on the epidemic,” Sullivan said.

In September, Trump issued an executive order that continued PACHA and 31 other advisory bodies through fall 2019. A call for new council member nominations went out via a Dec. 1 notice posted on the federal register. The nomination period closes on Tuesday.

Sullivan said he hoped that new members will “continue to engage around the issues that the previous PACHA brought up.” Schoettes is not optimistic that the notice will attract qualified people.

“The only criteria for serving this president is loyalty,” he said. “From the [Centers for Disease Control and Prevention], to this body, to the FBI, there is a real problem this president has with dialogue or dissent.”







",29/12/2017
The Denver Post,Places to go for free HIV testing on Friday in honor of World AIDS Day,"Friday is World AIDS Day, so no better time for people to find out their HIV status.

Between 1982 and 2010, roughly 16,600 people were diagnosed with HIV in Colorado, according to Denver Public Health. In recent years, about 430 new diagnoses have been made annually.

The only way to know if someone has HIV is to be tested. Roughly 20 to 25 percent of people living with HIV are unaware, according to Denver Public Health. That percentage jumps to 51 percent among people between the ages of 13 to 24.

There are ways for a person living with HIV to prevent the spread, including a daily medication and proper condom use.

Here are places where you can get free HIV testing on Friday:

Mexican Consulate

5350 Leetsdale Drive, #100, Glendale, CO 80246

9 a.m. to 1 p.m.

Denver Wrangler

3090 Downing St., Denver, CO 80205

9 p.m. to 12 a.m.

Lakewood clinic

645 Parfet St., Lakewood, CO 80215

8 a.m. to 4:30 p.m.







",01/12/2017
The Denver Post,Trump’s firing of HIV/AIDS council should send a clear signal,"Re: “Trump administration fires all members of HIV/AIDS advisory council,” Dec. 29 news story.

Donald Trump’s dismissal of remaining members of the Presidential Advisory Council on HIV/AIDS, which has been charged with advising the administration’s policymaking since 1995, should send a clear signal to his base of his utter lack of interest not only in this disease, but many other key social and economic issues affecting us all.

The message to his base is this: Candidate Trump and President Trump are two different animals. We are left with an administration having no strategy, approach or desire for improving our day-to-day lives. When you wake up tomorrow to read his next tweets, think long and hard about the long-term implications to what he is saying. Then ask yourself: Is this what I voted for?

Gary Rauchenecker, Golden

Submit a letter to the editor via this form or check out our guidelines for how to submit by e-mail or mail.",02/01/2018
The Denver Post,"In struggle against HIV, scientists get help from cows","SAN DIEGO — Prospects for defeating HIV, once considered an invincible killer, look brighter with major advances against the AIDS-causing virus discussed at an international conference this week.

One of those pieces of good news comes from The Scripps Research Institute in La Jolla. In collaboration with the International AIDS Vaccine Initiative, its researchers have generated “broadly neutralizing antibodies” that kill HIV using an unexpected source — cows.

The startling feat was announced in a study published in the journal Nature. It marks another milestone step toward the long-elusive aim of creating a vaccine against the virus, with the antibodies perhaps also leading to creation of new HIV drugs.

“It takes humans years” for the immune system to trigger formation and full production of broadly neutralizing antibodies. “The cows solved it in a couple of months,” said Dennis Burton, co-author of the new report and a longtime researcher of such antibodies at Scripps Research.

In other news at the 9th IAS Conference on HIV Science in Paris, researchers highlighted the case of an HIV-infected child who has apparently been cured of the virus. They also announced success in using a long-lasting injection to suppress HIV levels.

Yet another study showed that certain HIV drugs were able to prevent transmission of the virus in hundreds of couples where at least one person was HIV-positive.

Despite the progress, HIV continues to spread and destroy lives, said Mark Feinberg, the vaccine initiative’s president and CEO.

“To me, the most significant thing is how the epidemic continues to ravage many countries and communities, and is still such a major threat to so many people’s lives,” Feinberg said. “While this disease may have receded from the headlines, it hasn’t gone away. And unless things are really stepped up, it’s going to get worse rather than better. That is part of the discussion taking place in Paris.”

In the United States, 1.2 million people are living with HIV. The worldwide number is 37 million, with many of the patients living in poor countries with inadequate health care. Mostly in Sub-Saharan Africa, people can’t get ready access to the drugs that have turned HIV from a virtual death sentence when it was discovered in the 1980s into today’s manageable disease.

And a lack of awareness of how the virus is transmitted means more are infected all the time. About 2.1 million new infections occurred worldwide in 2015, according to the National Institute for Allergy and Infectious Diseases.

Over the course of the HIV-AIDS epidemic, more than 70 million people have been infected with HIV, according to the World Health Organization. About 35 million of them have died of acquired immunodeficiency syndrome

During this time, numerous efforts have been launched to develop a vaccine against HIV. But none of those projects has demonstrated more than a modest benefit in reducing the rate of infection.

Broadly neutralizing antibodies have long been researched intensively for clues on making a better HIV vaccine. It’s hard for the human immune system to produce these antibodies because HIV mutates prolifically, presenting a moving target. When these antibodies finally arrive, the virus is too well-established to eradicate from the patient’s body, said Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases.

But if the immune system could be trained with a vaccine to make these powerful antibodies before any infection occurs, the virus might be blocked from getting a foothold, Fauci said.

In the study from Scripps Research and the vaccine initiative, calves were injected with HIV fragments selected to provoke production of broadly neutralizing antibodies. Their quick response was remarkable, said Burton and study co-author Vaughn Smider, a Scripps Research colleague. It’s thought that the bovine immune system’s powers protect it from extensive exposure to microbes in its gut as it chews and rechews its cud.

This power may be conferred by a peculiarity of cows’ antibody structure.

Antibodies form a Y shape. At the ends of the two arms are loops of protein that latch onto the molecular target, called an antigen. These loops are called complementarity-determining regions, or CDRs. Their structure determines which antigens it can bind to.

An antibody region called CDR H3 is far longer in cows than in humans, which provides a greater reach to find the right molecular latching point, such as in a deep indentation that hides a vulnerable region. A broadly neutralizing human HIV antibody has an exceptionally long CDR H3 region, but is still much shorter than the one in cows.

Insights from how cows make these antibodies could help in several ways.

First, they could give guidance in devising an effective HIV vaccine that can quickly rev up the immune system to make these powerful antibodies, blocking HIV from getting a foot in the door, said Fauci, Burton and Smider.

In addition, the broadly neutralizing antibodies could be manufactured as HIV drugs to prevent or treat infection, they said. The antibodies would need to be altered to look more human so they don’t provoke an immune reaction, but this has been done with other antibody drugs.

Finally, the study could provide a template for developing vaccines and therapies for other diseases, such as influenza.

While HIV and the flu virus are quite different, the general concept is the same. The most prominent targets on each mutate rapidly. Other parts, vital to the virus function, remain relatively constant but are concealed. The immune system must produce antibodies to the unchanging areas and not be distracted by areas of rapid change.

“A lot of the tools developed for HIV are now being applied to flu,” said Feinberg with the vaccine initiative. A vaccine for respiratory syncytial virus, or RSV, may be even closer at hand, he said.

“RSV has been a pathogen which causes serious morbidity and mortality in young children and older people,” Feinberg said. “And it’s long been at the top of many lists for vaccine development, but for a variety of reasons has been challenging.

“I’m hopeful that these new approaches will actually crack the code on that and enable the development of an efficacious RSV vaccine. … So it is a direct example where the work in HIV is having broad benefits to other areas as well,” he added.

At Scripps Research, Burton and colleagues have been examining broadly neutralizing antibodies for decades, seeking evidence of a potential vaccine ingredient. The goal is to compress the years of “educating” the human immune system into months, through a series of vaccinations using fragments of HIV along with other substances to stimulate an immune response.

Complementary research carried out at the nearby La Jolla Institute for Allergy & Immunology has shown that certain other immune cells, called helper T cells, are made more abundantly by people whose bodies also generate broadly neutralizing antibodies. So a vaccine should ideally help stimulate production of both types of cells.

The broadly neutralizing antibodies were discovered in HIV-infected people over the years, at first one by one, then in increasing numbers as research expanded. In 2008, Scripps Research, working with the International AIDS Vaccine Initiative, established the HIV Neutralizing Antibody Center on the Scripps La Jolla campus to collaborate on studying these antibodies.

Another part of this research is figuring out why the human immune system is so bad at fighting HIV, compared to other viruses, Fauci said. The cow antibody research is useful as a conceptual tool.

“If we can figure out the way that (HIV) protein interacts with the cow’s immune system that allows the cow to make such great antibodies against HIV, and to do it so readily and quickly and in abundance, it may give us some insight into how we can develop an HIV vaccine in a human,” Fauci said.",26/07/2017
The Denver Post,Congress revamps housing program to benefit areas where HIV is spreading,"In a bipartisan push, Congress has restructured a federal program that provides housing assistance for people living with HIV to funnel more money into areas struggling to control the outbreak.

While legislators and housing advocates say the adjustments will better target regions with high rates of the virus, these changes are likely to mean less money for some of the large cities that confronted the early effects of the epidemic.

To help with the transition, Congress increased funding for the Housing Opportunities for Persons With AIDS (HOPWA) program about 6 percent this year. In the past, this money was distributed across the country based on a jurisdiction’s cumulative number of cases (including people who had died).

Now under the 2017 funding, finalized by Congress in May, HOPWA has awarded $320.4 million to qualifying states and local jurisdictions to be apportioned primarily based on their share of the total number of people living with the virus. The number of cases required to qualify for funding also changed from 1,500 cumulative AIDS cases to 2,000 living cases of HIV/AIDS.

No jurisdiction will receive less HOPWA money than in 2016, but about 25 cities and counties are getting a smaller piece of the pie than before. The top five seeing their percentage of funding drop are, in order, New York City, Atlanta, Miami, Washington, D.C., and Houston.

“As the formula is fully implemented, without additional funds those jurisdictions will lose out,” said Opal Jones, vice president of the National AIDS Housing Coalition, a housing advocacy group in favor of the formula change. “It’s a great start. It’s just not enough.”

The program, which began in 1992, provides financial assistance to help participants pay for rent, mortgage and utility costs. HOPWA also offers competitive grants to jurisdictions and organizations, but that allotment accounts for only about 10 percent of its budget and is not included in the $320.4 million.

Shelter represents one of the most important factors in determining an individual’s success in HIV treatment. According to the Department of Housing and Urban Development, which administers the HOPWA program, housing instability is linked to delayed testing and gaps in care. The department estimates roughly half of the individuals living with HIV in the U.S. will experience a housing crisis in their lifetime.

“I think we can’t underestimate the power that home has in improving the health in somebody with a chronic condition,” said Russell Bennett, executive director of the National AIDS Housing Coalition.

Shyronn Jones, 39, has struggled financially since she was diagnosed with HIV. She was once a homeowner in New York, but when she moved to Atlanta several years ago, the only housing she could afford was an apartment in a crime-ridden pocket of the city. She was having trouble getting medical care, her white blood cell count dipped to dangerously low levels, and her mental health deteriorated.

But then, a housing assistance organization connected Jones to HOPWA, which helped her to move into a better neighborhood with a nearby grocery store, post office and park, where her daughter can play.

“I had a lot riding on HOPWA,” she said. “HOPWA just saved me.”

Seeking to soften the impact of the formula change, the law increased appropriations this year so that each jurisdiction would see at least a small rise in funding. Over time, areas with higher rates of HIV transmission, such as the South, will continue seeing increases. The Centers for Disease Control and Prevention estimated 44 percent of all individuals living with HIV in the country reside in the South, even though only 37 percent of the U.S. population live in the region.

The extra $20 million allocation nationwide this year translated to double-digit percentage increases for more than 100 out of the 140 participating jurisdictions. Smaller cities such as Greenville, S.C., and Syracuse, N.Y., saw their funding jump by nearly 14 percent. Notably, some larger metropolitan hubs such as Portland, Ore., and Chicago also saw similar growth in their grants.

But efforts to funnel money into current HIV epicenters without additional funding could mean cuts for large metropolitan areas such as Atlanta and New York. To mitigate potential losses, the program’s statute stipulates that over the next five years, a grantee cannot lose more than 5 percent or gain more than 10 percent of its share of the previous year’s total HOPWA formula funds.

“We’ll see some losses in funding (for some areas) over the years,” said Rita Flegel, director of the Office of HIV/AIDS Housing. “And then money will be distributed more evenly among people living with HIV.”

Rep. David Price, D-N.C., who was one of the co-sponsors of the bill that reformulated the funding, said the phase-in coupled with the boost in funding helped assuage fears of cutbacks among lawmakers from areas with a legacy of large numbers of HIV cases.

“People of all sorts of political persuasions supported this because this was a question of fairness,” he said. Yet, “it was very clear that we needed to increase the size of the pie to make this proposition less difficult.”

One of the cities that could lose out is the nation’s capital. Nearly 13,000 residents, or nearly 2 percent of the population, live with HIV in Washington, D.C., according to the city’s health department.

HOPWA has not been able to keep up with demand of the area’s residents and the city discontinued its waiting list last year with more than 1,200 individuals, according to Michael Kharfen, the senior deputy director of the city’s HIV/AIDS, Hepatitis, STD, and TB Administration. The area is expected to receive $11.2 million, a 1 percent increase from last year’s funding.

But the nation’s capital is not unique in its struggle to keep up with the demand. According to the latest data from HUD, 138,427 HIV-affected households across the country were in need of housing assistance.

Jones, of Atlanta, now resides in a three-bedroom, two-bathroom apartment in a neighborhood she dreamed of while growing up in New York City.

Her white blood cell count has doubled since her move, she said, and her mental state has improved. Jones, who is a policy fellow for the HIV advocacy organization Positive Women’s Network USA and runs a business that advises HIV patients on resources, is grateful to HOPWA for the assistance. But she said she hopes to become self-sufficient and help others dealing with situations similar to those she once faced.

“That’s what I’m striving for,” she said.",10/08/2017
The Denver Post,Everything you need to know ahead of Friday’s free HIV testing at a Lakewood clinic,"In honor of World AIDS Day on Friday, Jefferson County Public Health is offering free HIV testing at a clinic in Lakewood.

In 2015, more than 13,000 people in Colorado and more than 650 people in Jefferson County were living with HIV and AIDS, according to the latest data from the Jefferson County health department. Across the United States, more than 1.1 million people are living with HIV and AIDS.

But the number of new HIV infections each year has started to decline as advances in HIV prevention and care continue.

Denver Public Health said roughly 20 to 25 percent of people living with HIV are unaware. The only way to know for sure if you have HIV is to get tested, according to the health department. The Centers for Disease Control and Prevention recommends that everyone between 13 and 64 years old gets tested.

Despite the stigma, people living with HIV and their partners can have healthy, long lives. In September 2017, the CDC announced that people living with HIV have effectively no risk of spreading the virus if they adhere to their medicine and maintain an undetectable viral load.

Additionally, people can take Truvada for “pre-exposure prophylaxis, or PrEP, once a day, which helps prevent HIV. Another prevention technique is correct condom use.

Blaine Wajdowicz, a public health nurse with JeffCo, gave the rundown on everything you need to know if you’re interested in the free testing Friday:

Where? The health department’s Lakewood clinic at 645 Parfet St.

When? 8 a.m. to 4:30 p.m.

Do I have to make an appointment? You can either walk in or call 303-239-7078 to set up an appointment.

How long will it take? Check-in typically takes 10-15 minutes. The appointment itself lasts for about 30 minutes.

What exactly happens? You’ll head in with a public health nurse for a one-on-one appointment. The nurse will prick your finger and take a small sample of blood. While the test is running, the nurse will discuss with you potential risk factors and help you develop a personalized risk reduction plan.

What to bring? All you need is a copy of your I.D.",29/11/2017
The Denver Post,"“People who have HIV are going to suffer,” says Denver professor who left presidential HIV/AIDS council in protest of Trump","A Denver professor who along with five others last week quit the Presidential Advisory Council on HIV/AIDS in protest of Donald Trump said people with the virus “are going to suffer” under his policies.

“I made the decision to leave because I thought that making this kind of statement might make a bigger impact than staying on,” said Dr. Lucy Bradley-Springer, who is retired from teaching at the University of Colorado Denver. “It was not an easy decision to make.”

Bradley-Springer was appointed to the council — created by President Bill Clinton in 1995 to improve policymaking — about two years ago by Barack Obama and says she was asked to stay on when the Trump Administration came into office.

She said there were troubling signals almost immediately from the new White House about how the administration viewed the council.

“We sent a letter to the secretary of health, which is how the council talks to the administration, and we didn’t immediately hear back,” she said. “When we did hear back, it was from someone on a rather low level.”

Up to 25 people can be on the council, but only 21 were serving on the advisory group before the six resignations came last week.

The resignations were announced in a Newsweek column penned by member Scott Schoettes, who served on the council since 2014, and signed by Bradley-Springer and the four others who resigned.

“The Trump administration has no strategy to address the ongoing HIV/AIDS epidemic, seeks zero input from experts to formulate HIV policy, and – most concerning – pushes legislation that will harm people living with HIV and halt or reverse important gains made in the fight against this disease,” Schoettes wrote.

The White House has rejected some of the claims made by the six who resigned, including that they did not make concerted efforts to meet with the council.

Bradley-Springer said she first started to doubt her position on the board just after Trump’s election because of his rhetoric during the 2016 campaign. The language Trump was using, she said, threatened to force people with HIV and AIDS into hiding, which could discourage them from seeking treatment and hurt efforts to stop the virus’ spread.

The former nurse and editor of the Journal of the Association of Nurses in AIDS Care said she was, and continues to be, concerned with Trump’s statements that seem to ignore evidence-based science.

“That may have been the straw that broke the camel’s back — knowing that we weren’t working from evidence,” Bradley-Springer said. “We were working from hearsay or what somebody thought sounded good. A lot of this is my personal feelings, but you have to remember, with HIV, that any stigma and discrimination creates a situation where people go into hiding. We were making inroads, and I think that the rhetoric that has come out of the administration has pushed people back into closets.”

Bradley-Springer said, too, that the U.S. House-passed American Health Care Act, which proposes deep cuts to Medicaid, threatens to eliminate funding for the roughly 40 percent of HIV/AIDS patients who get treatment under the program.

“I do feel like people who have HIV are going to suffer,” she said. “They are going to suffer if the advances we made in health care go away.”

The Washington Post contributed to this report.",21/06/2017
The Denver Post,Suit: Aetna violated law with envelope revealing HIV status,"PHILADELPHIA — A Pennsylvania man is suing health insurer Aetna, saying his sister learned he was taking HIV medication after the company mailed him an envelope with a large, clear window that showed information on where to purchase the drugs.

The lawsuit filed Monday in U.S. District Court in Philadelphia is seeking class-action status.

It says the 52-year-old man from suburban Philadelphia doesn’t have the virus that causes AIDS but was taking the medication preventatively.

The lawsuit claims the mailing violated the law by revealing HIV information of about 12,000 customers in at least 23 states.

A spokesman for the Hartford, Connecticut-based company declined to comment on the suit.

Last week, the company said it was reviewing processes to ensure such a mistake never happens again.



",28/08/2017
The Denver Post,"For 1st time, over half of people with HIV taking AIDS drugs","LONDON — For the first time in the global AIDS epidemic that has spanned four decades and killed 35 million people, more than half of all those infected with HIV are on drugs to treat the virus, the United Nations said in a report released Thursday.

AIDS deaths are also now close to half of what they were in 2005, according to the U.N. AIDS agency, although those figures are based on estimates and not actual counts from countries.

Experts applauded the progress, but questioned if the billions spent in the past two decades should have brought more impressive results. The U.N. report was released in Paris where an AIDS meeting begins this weekend.

“When you think about the money that’s been spent on AIDS, it could have been better,” said Sophie Harman, a senior lecturer in global health politics at Queen Mary University in London.

She said more resources might have gone to strengthening health systems in poor countries.

“The real test will come in five to 10 years once the funding goes down,” Harman said, warning that some countries might not be able to sustain the U.N.-funded AIDS programs on their own.

The Trump administration has proposed a 31 percent cut in contributions to the U.N. starting in October.

According to the report , about 19.5 million people with HIV were taking AIDS drugs in 2016, compared to 17.1 million the previous year.

UNAIDS also said there were about 36.7 million people with HIV in 2016, up slightly from 36.1 million the year before.

In the report’s introduction, Michel Sidibe, UNAIDS’ executive director, said more and more countries are starting treatment as early as possible, in line with scientific findings that the approach keeps people healthy and helps prevent new infections. Studies show that people whose virus is under control are far less likely to pass it on to an uninfected sex partner.

“Our quest to end AIDS has only just begun,” he wrote.

The report notes that about three-quarters of pregnant women with HIV, the virus that causes AIDS, now have access to medicines to prevent them from passing it to their babies. It also said five hard-hit African countries now provide lifelong AIDS drugs to 95 percent of pregnant and breast-feeding women with the virus.

“For more than 35 years, the world has grappled with an AIDS epidemic that has claimed an estimated 35 million lives,” the report said. “Today, the United Nations General Assembly has a shared vision to consign AIDS to the history books.”

The death toll from AIDS has dropped dramatically in recent years as the wide availability of affordable, life-saving drugs has made the illness a manageable disease. But Harman said that “Ending AIDS” — the report’s title — was unrealistic.

“I can see why they do it, because it’s bold and no one would ever disagree with the idea of ending AIDS, but I think we should be pragmatic,” she said. “I don’t think we will ever eliminate AIDS, so it’s possible this will give people the wrong idea.”",20/07/2017
The Denver Post,Analysis: Trump wants you to know he actually does care about HIV/AIDS,"The White House has issued an earnest statement attributed to President Donald Trump about HIV/AIDS in America. It is technically accurate, apolitical and strikes just the right notes in terms of being somber and optimistic at the same time.

There’s nothing exciting about the content of the four-paragraph statement. It simply reminds people that Tuesday is National HIV Testing Day, reviews some statistics about the epidemic, and tells people why it’s important to get tested.

But coming on the heels of the resignation of six members of his Presidential Advisory Council on HIV/AIDS (PACHA) last week, the words took on more significance. An HIV/AIDS council member who resigned wrote that Trump “simply does not care.”

Some commentators, on Twitter and elsewhere, took the new statement as an attempt at extending a sort of olive branch to those affected by the virus that has devastated far too many communities since it was first identified 35 years ago.

“Today, on National HIV Testing Day, we encourage people to take the first step – discovery – in fighting the Human Immunodeficiency Virus,” the president’s statement said. He continued, “Greater awareness through testing is crucial in defeating HIV and AIDS. Thankfully, because of progress in testing and treatment, we have never been closer to conquering the epidemic.”

In the nearly eight months since he was elected president, Trump has managed to alienate a diverse range of stakeholders in the health-care world – from scientists researching autism to parents of children with pre-existing conditions. But the backlash from the HIV/AIDS community has been especially fierce.

In a very public display of frustration, Scott Schoettes, a former member of PACHA, accused the Trump administration of having “no strategy to address the ongoing HIV/AIDS epidemic.” Writing in a commentary in Newsweek, he also said Trump and his government have sought zero input from experts on their HIV policy and have pushed legislation that “will harm people living with HIV and halt or reverse important gains made in the fight against this disease.”

White House press secretary Sean Spicer last week defended Trump against the accusations, but instead of being combative as he has been on other issues, he seemed to be trying to make nice with critics.

“Well, I mean, respectfully, the president cares tremendously about that and the impact it has,” Spicer said at a briefing. “Obviously, the individuals that he’s appointed here in the White House have been in communication with various stakeholders in that community to help develop policies and formulas going forward, but we’re going to continue to do what we can from a government standpoint.”

On Tuesday, Schoettes said in an email to The Washington Post that he’s glad the president spoke about HIV

“[T]his is the first such statement out of this White House, despite numerous opportunities to address the HIV/AIDS epidemic over the past 6 months – but what we really need is action on the health care bill,” he said.

Saying he has “little faith” that the Trump administration is “going to make a genuine attempt to address the needs of people living with HIV,” he said that he is appealing directly to senators working on the bill to sit down with HIV advocates to understand the consequences of their bill.

Schoettes called on Republicans to restore coverage mandates, Medicaid expansion and continue funding the important sexual health and prevention services provided by Planned Parenthood.",27/06/2017
