newspaper_name,headline,article_text,publish_date
The New York Times,HIV Phobia,"A psychological condition, reported in China, whereby individuals are convinced they have HIV despite negative test results.

“Hundreds of people in China believe they might have a new disease with HIV-like symptoms, but doctors suggest their illness could be the result of a mental rather than a physical condition,” Chris Hogg reported for the BBC.

The Chinese authorities have been accused of covering up respiratory illnesses like Sars in the past.

This time doctors are blaming a breakdown in trust between the medical profession and patients, who fear they are being lied to when their diagnostic tests come back negative.

Hogg interviewed Dr Cai Weiping, a senior Chinese HIV researcher at the People’s Number 8 hospital in Guangdong:

[Dr Cai] is concerned that growing numbers of patients with what he describes as “HIV phobia” are using up scarce resources.

“They come to have tests again and again, wasting money.

“A real HIV sufferer may take 15 minutes to deal with. A patient with the phobia can take at least an hour, or as much as half a day of arguing before they go away.” …

He believes the problem is psychological rather than physical.

“They think we are concealing an epidemic,” he explains.",18/02/2010
The New York Times,"On Hollywood, HIV, Alcohol and Warming","David Roberts has posted an interesting Grist interview with Sandra de Castro Buffington, who directs the Hollywood, Health and Society program at the University of Southern California.

The program, in collaboration with several federal health agencies, works behind the scenes in Hollywood to foster smarter public health choices by, among other things, shaping story lines in scripts for TV shows and movies. One example was the “Hammered” episode of Law & Order: Special Victims Unit, which focused on alcohol abuse:

.

In the Grist piece, Buffington talks enthusiastically about doing for human-driven global warming what’s been done for HIV awareness, diabetes, alcoholism and the like. (This is not entirely new terrain, mind you; the Environmental Media Association began doing the same thing starting in the late 1980s.)

I could see storytelling, particularly melding images and ideas, bringing a fresh focus to the scope of the country’s, and world’s, energy gap. If I didn’t, I wouldn’t repeatedly post the photo of kids doing homework under parking lot lights in Guinea (and more recently the hopeful photos of kids in rural Kenya doing the same thing at home because of a small solar panel).

But I’m deeply doubtful that this is a path to changing public attitudes and — more importantly — behaviors related to curbing emissions of greenhouse gases. There’s simply too much evidence that the fundamental characteristics of the rising human influence on climate are a very bad fit for how humans absorb and respond to risks.

I’d be happy to be proved wrong, and others have different views, of course. I sent a query on the Grist post to a variety of analysts and practitioners involved in testing how different ways of presenting information might, or might not, influence people’s attitudes and, more importantly, choices. [ Matthew Nisbet has posted an excellent analysis of such efforts at Age of Engagement.]

I’m priming the comment string below with their reactions. Please add yours.",27/01/2011
The New York Times,Developer of HIV Drugs Raises $31 Million,"Tobira Therapeutics, a new company developing a pair of HIV drugs, raised $31 million in a first round of funding led by Domain Associates. Other investors who threw in included Frazier Healthcare Ventures, Montreux Equity Partners, and Canaan Partners.

Domain partner Eckard Weber founded Tobira last year to develop drugs licensed from Takeda Pharmaceutical of Osaka, Japan.

Go to Article from The Deal.com »",03/08/2007
The New York Times,"Weeks After 2030 HIV Pledge, Report Shows US Headway Stalled","The new numbers show the government fell well short of previously set goals for reducing the spread of HIV by 2015, noted Dr. David Holtgrave, a longtime HIV expert who is dean of public health at the State University of New York at Albany.

What does it say about the 2030 goal? CDC officials said there's reason to be optimistic, but Holtgrave said the new report and other data do not bode well.

Barring new government funding of at least several billion dollars a year, ""it's extremely unlikely that will occur,"" Holtgrave said.

The report found:

—An estimated 38,700 new HIV infections occurred in the United States in 2016.

—Nearly 20,000 of those 2016 infections happened in the South. That's more than the combined total for the rest of the country.

—New infections have been dropping among many groups of people, including black women, those younger than 24 and gay white men.

—But there's no longer a decline in infections among people who inject drugs; it stopped declining in 2012. Experts believe the nation's opioid epidemic is to blame.

—Infections are rising among black and Latino gay men who are ages 25 to 34. That number grew 65 percent from 2010 to 2016, offsetting decreases in other groups.

During his State of the Union speech earlier this month, Trump said he was launching a campaign to end HIV in the U.S. by 2030. Separately, federal health officials said the government hopes to reduce new infections by 90 percent over the next 10 years. The president did not say how much new money will be spent on the effort.",27/02/2019
The New York Times,Monthly Shots Control HIV as Well as Pills in 2 Big Studies,"SEATTLE — Monthly shots of HIV drugs worked as well as daily pills to control the virus that causes AIDS in two large international tests, researchers reported Thursday.

If approved by regulators in the United States and Europe, the shots would be a new option for people with HIV and could help some stay on treatment. Instead of having to remember to take pills, patients instead could get injections from a doctor or nurse each month.

""Some people will be thrilled"" at the convenience, said Mitchell Warren, executive director of AVAC, an AIDS advocacy group.

Condoms remain the most widely available and inexpensive form of HIV prevention. Pills taken daily can keep HIV levels so low the virus is not transmittable to sex partners, but not everyone takes them as prescribed.",07/03/2019
The New York Times,Kentucky Man Accused of Singapore HIV Data Leak Jailed in US,"LEXINGTON, Ky. — A Kentucky man accused by the Singapore government of stealing a database of HIV patients has been jailed in the U.S. on federal charges of illegally possessing Singaporean identification documents.

Mikhy Farrera-Brochez of Winchester was briefly in federal court in Lexington on Wednesday. A federal grand jury will meet to decide if Brochez should be indicted on four U.S. charges related to the possession of the documents.

Last month, Singapore's health ministry accused Brochez of stealing and leaking a pre-2013 database of 14,200 people who were infected with HIV. The ministry says Brochez worked in Singapore as a lecturer before he was jailed for several drug and fraud-related offenses and deported last year.

Brochez's attorney, Jay Oakley, said Wednesday that Brochez is innocent of the charges.

""The nature of the charges are that he has in his possession certain identifying government documents coming from Singapore and that he shouldn't have in his possession,"" Oakley said after the court hearing. ""We're going to prepare our defense and handle the charges as they need to be handled.""",27/02/2019
The New York Times,"HIV Deaths Fall Below 1,000","Deaths from HIV in New York City fell below 1,000 in 2009 for the first time since the disease exploded in the 1980’s, the city health department announced today.

In 1994, at the disease’s peak, there were 7,046 deaths from HIV in the city; in 2008, there were 1,073. In 2009, there were 933, down 13 percent from 2008 and down 87 percent from 1994.

Infant mortality in the city also fell to an all-time low in 2009, to 5.3 deaths per thousand live births, down from 5.5 in 2008, the health department said. That is significantly lower than the national infant mortality rate of about 6 deaths per thousand live births.

In general, in fact, people in New York City just aren’t dying the way they used to. The death rate in the city fell to an all-time low in 2009, and the average New Yorker’s life expectancy held steady at 82 years for women and 76.3 for men. These statistics and many more are available in the health department’s Annual Summary of Vital Statistics, released today, which covers 2009, not 2010, because there is a lag in compiling the data.

Other findings: Deaths attributable to smoking also declined, as did deaths from heart disease and influenza, while deaths from cancer and diabetes ticked up slightly.",29/12/2010
The New York Times,London Man Seems to Be Free of HIV in Second Such Case,"SEATTLE — A London man appears to be free of the virus that causes AIDS after a stem cell transplant, the second success including the ""Berlin patient,"" doctors reported.

The therapy had an early success with Timothy Ray Brown, a U.S. man treated in Germany who is 12 years post-transplant and still free of HIV. Until now, Brown is the only person thought to have been cured of infection with HIV, the virus that causes AIDS.

Such transplants are dangerous and have failed in other patients. They're also impractical to try to cure the millions already infected.

The latest case ""shows the cure of Timothy Brown was not a fluke and can be recreated,"" said Dr. Keith Jerome of Fred Hutchinson Cancer Research Center in Seattle who had no role. He added that it could lead to a simpler approach that could be used more widely.",04/03/2019
The New York Times,London HIV Patient Becomes World's Second AIDS Cure Hope,"LONDON, March 4 — An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the AIDS virus after he received a bone marrow transplant from an HIV-resistant donor, his doctors said.

Almost three years after he received bone marrow stem cells from a donor with a rare genetic mutation that resists HIV infection - and more than 18 months after he came off antiretroviral drugs - highly sensitive tests still show no trace of the man's previous HIV infection.

""There is no virus there that we can measure. We can't detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man.

AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure, but does not mean that cure has already been found.",05/03/2019
The New York Times,"LeRoy Whitfield, 36, Dies; Wrote of AIDS Battle","LeRoy Whitfield, a journalist who used a magazine column to chronicle the everyday struggles of people with H.I.V., died last Sunday at North General Hospital in Harlem. He was 36.

The cause was AIDS-related complications, said his brother, Crofton Whitfield.

Mr. Whitfield had written a column titled ""Native Tongue"" since May 2004 in HIV Plus, a national magazine distributed at doctors' offices and organizations offering services for people with AIDS. The magazine's editor, Michael W.E. Edwards, said that Mr. Whitfield's column was one of the magazine's most popular features because of the candor with which he shared his own fight against H.I.V., the virus that causes AIDS. Mr. Whitfield learned that he was H.I.V.-positive when he was 19, and he decided to forgo taking the powerful AIDS drugs that have extended the lives of many people with H.I.V. It was a choice that he stood by till the end, even though his doctors advised him to take the medicines, his brother said.

Mr. Whitfield was also a frequent contributor to Vibe magazine and a former senior editor at Poz, another magazine intended for people with H.I.V.

LeRoy Whitfield was born in Chicago on Sept. 19, 1969. In addition to his brother, he is survived by a sister, LaRonya Whitfield.",16/10/2005
