newspaper_name,headline,article_text,publish_date
NewsDay,Chembio Diagnostics' loss widens in 4Q,"Chembio Diagnostics Inc. saw its loss widen in the October-December period compared with a year earlier due to higher personnel and acquisition costs, executives said Thursday.

The Medford manufacturer of rapid tests for HIV, syphilis, Ebola, Zika and other infectious diseases reported a loss of $3.2 million in the final three months of last year compared with a loss of $2 million in 2017.

Revenue in the fourth quarter totaled $7.6 million, a year-over-year gain of 27 percent. Much of the growth came from sale of point-of-care tests.

Chembio CEO John J. Sperzel said the company had “strong product sales growth” and made progress on “strategic and operational initiatives that will lay the foundation for continued growth.”

Among the initiatives is a planned consolidation of multiple offices in Medford and a warehouse in Holbrook into one building in Hauppauge, and to use robots for some production work. The $3.9 million project recently won tax breaks from Suffolk County.

Chembio employs 223 people in Suffolk, according its application for tax breaks. The company also has a factory in Malaysia and offices in Germany.

For the year, Chembio reported a loss of $7.9 million compared with a loss of $6.4 million. The company last reported an annual profit in 2013.

Revenue for the year totaled $33.4 million, up 39 percent from 2017.

Get the Biz Briefing newsletter! The latest LI business news in your inbox Monday through Friday. By clicking Sign up, you agree to our privacy policy.

Sperzel said Thursday that Chembio will have revenue of $36 million to $40 million this year.

Separately, he announced receipt of a contract to supply UNICEF with up to $3.5 million worth of ""multiplex"" tests. The 15-minute tests, using one sample of blood, can detect three diseases: Zika, chikungunya and dengue.

Sperzel said the contract is contingent on receipt of Europe’s CE mark certification, completion of clinical and analytical performance evaluations and a quality management system inspection.

He said the Zika/chikungunya/dengue test ""is a clear advantage compared to other testing options, such as laboratory tests which are time consuming, or molecular tests which have a short window of detection.""

The announcement of the contract and company earnings came after the stock market closed. Chembio shares were down 13 cents, or 1.9 percent, to $6.69 on the NASDAQ stock market on Thursday.",07/03/2019
NewsDay,Human Rights Campaign to honor Christina Aguilera,"The nation's largest LGBTQ civil rights organization is honoring Christina Aguilera with its Ally for Equality award.

The Human Rights Campaign announced Thursday the six-time Grammy-winning singer is a true ""LGBTQ icon"" who uses her platform to ""share a message of hope and inspiration"" to those who have been marginalized.

The group said the 38-year-old recording artist has raised money to fight HIV/AIDS, advocated for marriage equality and spoken out against LGBTQ bullying. The campaign noted that Aguilera's 2002 single ""Beautiful"" is an empowering LGBTQ anthem.

Aguilera will be honored at the group's dinner in Los Angeles on March 30.

At the same event, the Human Rights Campaign will present its national leadership award to Yeardley Smith. The actress and producer is best known as the voice of Lisa Simpson.",07/03/2019
NewsDay,Second medical marijuana dispensary in Suffolk County set to open this month,"A medical marijuana dispensary expects to open at the end of March on Broadhollow Road in East Farmingdale.

The business will open without Babylon Town amending its code, which town officials initially believed necessary to ensure it could operate under zoning use regulations.

When Acreage Holdings presented its plans to town officials in January, Supervisor Rich Schaffer and other town officials believed the section of town code that limited vape shops and hookah bars to industrial areas applied to medical marijuana shops.

The town board held two public hearings on Feb. 13 to consider amending the code, but spokesman Kevin Bonner said upon further review, the code changes weren’t necessary in this case, and the town issued the company a building permit.

The dispensary, which will be called The Botanist, plans to open in March, according to an Acreage Holdings spokeswoman, in an existing building at 2365 Broadhollow Rd. that needs interior modifications.

It would be only the second such dispensary in Suffolk County, with the other located on Main Street in Riverhead run by Columbia Care. A third location is “coming soon” to an unspecified location, according to the state Department of Health.

Acreage Holdings is one of 10 companies with operating licenses from the state Department of Health to grow the marijuana plant and each run four dispensaries throughout the state.

Get the Breaking News newsletter! Get the latest breaking news as it happens. By clicking Sign up, you agree to our privacy policy.

The dispensaries sell the product in non-smokable form to New Yorkers with qualifying conditions, including cancer, HIV/AIDS, ALS, Parkinson's disease, multiple sclerosis, epilepsy, inflammatory bowel disease, neuropathy, PTSD, chronic pain and to treat opioid use.

Patients must first be evaluated by a medical marijuana-trained doctor and referred for the drug, then obtain a state Department of Health ID card.

As of March 6, there are 92,937 certified patients in the state and 2,233 registered practitioners, according to the state Department of Health.

In 2016, the state gave licenses to five companies with permission to sell medical marijuana at four dispensaries each, for a total of 20 statewide. Since then, the state has expanded its program to allow an additional 20 dispensaries.

Acreage Holdings opened another dispensary under the same name at 138-72 Queens Blvd. in Jamaica on Feb. 20.

Currently there are two dispensaries in Nassau County, one on Glen Cove Road in Carle Place and one on Marcus Avenue in Lake Success, and the Department of Health lists a third as coming soon to Nassau, although no town is listed.",07/03/2019
NewsDay,Researchers: London man becomes second patient to survive HIV,"A man known only as the London Patient is the second in the world to be pronounced cured of HIV by way of a bone marrow transplant, but the director of a leading center for the treatment of the infection on Long Island pointed to less-invasive methods of effectively addressing the virus.

Word of the London Patient came nearly 12 years to the day when doctors in Germany announced the cure of Timothy Brown, known at the time as the Berlin Patient. The new case study was published Monday in the journal Nature and presented Tuesday in Seattle at the Conference on Retroviruses and Opportunistic Infections by the British team involved in the patient’s treatment.

The London Patient has been in remission for 18 months following a bone marrow transplant that suffused his immune system with healthy stem cells, progenitors of infection-fighting components capable of defeating HIV, the human immunodeficiency virus, doctors said.

Brown, the Berlin Patient, also underwent a bone marrow transplant for treatment of his HIV infection. He told Newsday in a 2015 interview the same transplant also cured him of acute myeloid leukemia. The treatment, he said, gave his immune system a clean slate. His cure was verified by doctors at the National Institutes of Health in Bethesda, Maryland.

“At the moment, the only way to treat HIV is with medications that suppress the virus, which people need to take for their entire lives, posing a particular challenge in developing countries,” Dr. Ravindra Gupta said in a statement Tuesday. He led a consortium of physicians and scientists from Imperial College London, the University College London, Cambridge University and Oxford University who were involved in the patient’s case.

“Finding a way to eliminate the virus entirely is an urgent global priority, but is particularly difficult because the virus integrates into the white blood cells of its host,” Gupta said.

Bone marrow transplants are formidable treatments, Dr. Joseph McGowan, medical director of Northwell Health’s Center for AIDS Research and Training in Manhasset, said in an email Tuesday. McGowan is attending the same Seattle conference as the team that treated the London Patient.

Get the Breaking News newsletter! Get the latest breaking news as it happens. By clicking Sign up, you agree to our privacy policy.

A bone marrow transplant requires the infusion of chemotherapy, sometimes accompanied by radiation, to destroy a patient’s diseased blood-forming tissues in the bone marrow. Healthy marrow from a donor is then infused by IV afterward, priming the body to produce healthy new oxygen-carrying red blood cells and white blood cells that fight infections.

“Both cases of people being effectively cured to date required bone marrow transplants to treat life-threatening conditions,” McGowan said. “Current antiretroviral therapy is safe and effective at suppressing HIV to undetectable levels, preventing HIV transmission, allowing restoration of immune function often to normal levels, and can allow people to achieve normal life expectancy.""

McGowan added that treatments for HIV are becoming so simplified that a single pill contains a full treatment regimen.

Last week, doctors at the National Institute of Allergy and Infectious Diseases announced a clinical trial for an experimental HIV treatment involving a once-a-month injection, aimed at suppressing the virus to undetectable levels.

There are serious limitations to bone marrow transplants, which can be risky, McGowan said. Patients are vulnerable to a host of complications, including life-threatening infections. If the patient’s own bone marrow is not completely obliterated, he added, residual cells might harbor the virus. There’s also the need to find a matching donor, which can be difficult, if not impossible.

“Any potential cure would have to be at least as safe and effective as standard antiretroviral treatments,” McGowan said.

The London Patient was diagnosed with HIV in 2003 but did not start antiretroviral therapy until 2012, according to a news release from Imperial College London. The patient developed non-Hodgkins lymphoma that year.

Both the London and Berlin patients were treated with stem cell transplants from donors carrying a genetic mutation — CCR5 — that blocks HIV.",05/03/2019
NewsDay,Second man seems to be free of AIDS virus after transplant,"SEATTLE — A London man appears to be free of the virus that causes AIDS after a stem cell transplant, the second success including the ""Berlin patient,"" doctors reported.

The therapy had an early success with Timothy Ray Brown, a U.S. man treated in Germany who is 12 years post-transplant and still free of HIV. Until now, Brown is the only person thought to have been cured of infection with HIV, the virus that causes AIDS.

Such transplants are dangerous and have failed in other patients. They're also impractical to try to cure the millions already infected.

The latest case ""shows the cure of Timothy Brown was not a fluke and can be recreated,"" said Dr. Keith Jerome of Fred Hutchinson Cancer Research Center in Seattle who had no role. He added that it could lead to a simpler approach that could be used more widely.

The case, published online Monday by the journal Nature, was presented Tuesday at an HIV conference in Seattle.

Brown sat in the front row, stood for a round of applause and shook hands with lead researcher Ravindra Gupta of University College London after Gupta presented details on the London patient.

The patient has not been identified. He was diagnosed with HIV in 2003 and started taking drugs to control the infection in 2012. It's unclear why he waited that long. He developed Hodgkin lymphoma that year and agreed to a stem cell transplant to treat the cancer in 2016.

Get the Breaking News newsletter! Get the latest breaking news as it happens. By clicking Sign up, you agree to our privacy policy.

With the right kind of donor, his doctors figured, the London patient might get a bonus beyond treating his cancer: a possible HIV cure.

Doctors found a donor with a gene mutation that confers natural resistance to HIV. About 1 percent of people descended from northern Europeans have inherited the mutation from both parents and are immune to most HIV. The donor had this double copy of the mutation.

That was ""an improbable event,"" said Gupta. ""That's why this has not been observed more frequently.""

The transplant changed the London patient's immune system, giving him the donor's mutation and HIV resistance.

The patient voluntarily stopped taking HIV drugs to see if the virus would come back.

Usually, HIV patients expect to stay on daily pills for life to suppress the virus. When drugs are stopped, the virus roars back, usually in two to three weeks.

That didn't happen with the London patient. There is still no trace of the virus after 18 months off the drugs.

Researchers from eight countries are tracking 45 patients with cancer and HIV who have or will soon have stem cell transplants. One of them, a Dusseldorf, Germany, man, is showing no signs of HIV after several months after stopping treatment drugs, but it is too soon to tell if he, too, could be in remission.

Calling the London patient ""cured"" is tricky, Gupta said, because there is no standard definition for how long someone must remain free of virus and off treatment drugs. ""We are being cautious"" to call it remission for now, he said.

Brown said he would like to meet the London patient and would encourage him to go public because ""it's been very useful for science and for giving hope to HIV-positive people, to people living with HIV,"" he told The Associated Press Monday.

Stem cell transplants typically are harsh procedures which start with radiation or chemotherapy to damage the body's existing immune system and make room for a new one. There are complications too. Brown had to have a second stem cell transplant when his leukemia returned.

Compared to Brown, the London patient had a less punishing form of chemotherapy to get ready for the transplant, didn't have radiation and had only a mild reaction to the transplant.

Dr. Gero Hutter, the German doctor who treated Brown, called the new case ""great news"" and ""one piece in the HIV cure puzzle.""",05/03/2019
NewsDay,Misonix hires former Chembio exec: SEC filing,"Medical device maker Misonix Inc. has hired a former Chembio Diagnostics Inc. executive who stepped in as acting CEO at Chembio during 2017.

Sharon W. Klugewicz, 51, was named chief operating officer at Farmingdale-based Misonix effective Friday, according to a government filing. She will oversee Misonix's manufacturing, regulatory affairs and research and development.

Shares of Misonix closed up 15 cents to $19.38 on Tuesday. Twelve months ago the stock was trading at $10.

Misonix, which makes ultrasonic devices used in neurosurgery and spine, cosmetic and orthopedic surgery, is the third publicly traded Long Island company on Klugewicz's resume.

Stavros Vizirgianakis, Misonix president and CEO, said in a statement that the COO position was created in the first half of fiscal 2019 to ""accelerate the execution of our growth strategy.""

Klugewicz said she is ""excited ... to be part of a fast-growing company that is leveraging its unique proprietary ultrasonic technology to bring to market medical devices that deliver demonstrated clinical benefits.""

She joined Medford-based Chembio in 2012 and most recently served as senior vice president and chief quality and regulatory officer at the maker of tests for HIV, syphilis, Ebola and other diseases. Chembio announced her resignation in February.

Klugewicz was named acting CEO at Chembio in May 2017 when CEO John J. Sperzel took a medical leave to have a heart transplant. He resumed his CEO duties in October 2017.

Get the Biz Briefing newsletter! The latest LI business news in your inbox Monday through Friday. By clicking Sign up, you agree to our privacy policy.

Prior to joining Chembio, Klugewicz had a 21-year career at Port Washington-based filtration company Pall Corp.

Misonix will pay Klugewicz a base annual salary of $250,000 plus cash incentives, stock options and a vehicle allowance, according to the filing.

Klugewicz received a bachelor's degree in neurobiology from Stony Brook University and a master's in biochemistry from Adelphi University.",05/03/2019
NewsDay,Chembio executive who filled in as CEO resigns,"Sharon Klugewicz, the executive who ran Chembio Diagnostics Inc. when its CEO fell ill in 2017, is resigning, effective Feb. 22, the Medford company said Monday in a securities filing.

Klugewicz is currently senior vice president and chief quality and regulatory officer for the manufacturer of rapid tests for HIV, syphilis, Ebola, Zika and other infectious diseases.

In May 2017, Klugewicz was appointed acting CEO by the Chembio board of directors when CEO John J. Sperzel took a medical leave to have a heart transplant because of a rare disease. She resumed her duties as president of operations in North and South America when Sperzel returned to work in October of that year.

""Sharon was offered an opportunity to further advance her career with another firm,"" Sperzel said Monday night. ""We are happy to play a role in her professional growth and we wish her the best.""

Klugewicz joined Chembio in 2012 from Pall Corp., where she served as senior vice president of scientific and laboratory services. She worked for the filtration company in Port Washington for 20 years.",12/02/2019
NewsDay,Court dismisses most charges against pharmacist in black-market HIV drug case,"A state appellate court this week dismissed most of the charges against a Babylon pharmacist convicted of selling black-market drugs to treat HIV.

The Appellate Division Second Department ruled that the state attorney general's office overreached in charging Ira Gross, 65, with first-degree grand larceny, first-degree criminal diversion of prescription medication, first-degree money laundering and related charges. Gross remains convicted of first-degree commercial bribery and second-degree money laundering, and remains in prison serving 2 to 6 years on those charges.

Gross and others were accused of diverting expensive HIV antiretroviral medications purchased off the street and selling them to the former MOMS Pharmacy in Melville. HIV is the virus that causes AIDS. MOMS Pharmacy then dispensed the diverted medications to thousands of its unsuspecting patients, many of whom were Medicaid recipients, throughout New York and other states, including Massachusetts, Florida and California, prosecutors said.

They argued that Gross was guilty of grand larceny because his actions defrauded the pharmacy of money by falsely saying the drugs were legal to sell. But the court, in a lengthy decision by Judge Sandra Sgroi, said that because one of Gross' conspirators was a top official at the pharmacy, the drugstore knew what it was selling and could not be seen as a victim.

All the counts that relied on a claim of theft from the pharmacy must therefore be dismissed, the court ruled.

The criminal diversion of prescription medication was dismissed for a different reason. This statute is intended to criminalize street sales of prescription drugs, not brokering black-market sales of medication from a wholesale company to a pharmacy, as Gross was accused of doing, Sgroi wrote.

If the State Legislature wants to make such activity illegal, it could pass a law doing so, Sgroi wrote. Until then, she wrote that it is improper to stretch the law to make it fit these actions.

Both the state attorney general's office and Gross' appellate attorney did not respond to requests for comment.",25/01/2019
NewsDay,Medical marijuana dispensary applies for East Farmingdale location,"Babylon Town officials are considering approving an application for a medical marijuana dispensary in East Farmingdale. It would be the second marijuana dispensary in Suffolk County.

Acreage Holdings officials presented their proposal to town officials Wednesday, hoping to locate its fourth dispensary called “The Botanist” in a building just north of Smith Street on Broadhollow Road.

Acreage Holdings is one of 10 companies to receive operating licenses from the state Department of Health to grow the plant and run four dispensaries throughout the state. They have operating licenses in 19 states and will have 74 dispensaries open by the end of the year, according to the company’s chief operating officer, Robert Daino.

When Acreage Holdings spoke with town officials Wednesday, Supervisor Rich Schaffer said the town would most likely accept the application, as long as it doesn’t violate the town code, which prohibits new vape shops and hookah bars from business districts, allowing them only in industrial zoning.

If the town were to determine a medical marijuana dispensary falls under that code, the business would need special approval to operate the location at 2635 Broadhollow Rd.

“We want to get our code up to speed to accommodate medical marijuana locations,” Schaffer said to Daino and other Acreage staff. He later added, “I believe we have what we need . . . so you can get your building permit.”

When the medical marijuana program rolled out in 2016, only five companies were licensed to grow and then sell the drug at four dispensaries each, for a total of 20 statewide. That number has since doubled to 40, and the East Farmingdale dispensary would be among those additional locations.

The only other dispensary in Suffolk County is on Main Street in Riverhead, run by Columbia Care. A third dispensary owned by Valley Agriceuticals LLC is listed on the Department of Health’s website as coming soon to Suffolk County, without a specific town.

Get the Breaking News newsletter! Get the latest breaking news as it happens. By clicking Sign up, you agree to our privacy policy.

There are two dispensaries in Nassau County, one on Glen Cove Road in Carle Place, and one on Marcus Avenue in Lake Success. The Department of Health lists a third as coming soon to Nassau, although no town is listed.

Only New York State residents who have qualifying conditions, including cancer, HIV/AIDS, ALS, Parkinson's disease, multiple sclerosis, epilepsy, inflammatory bowel disease, neuropathy, and most recently, PTSD and chronic pain, can apply for the program.

Insurance doesn’t cover the treatment, so patients must pay out-of-pocket.

Patients with a qualifying condition must get a referral from a doctor trained in the state’s medical marijuana program, then apply for a Department of Health ID card.

The program, passed as New York's Compassionate Care Act in 2014, allows medical marijuana in non-smokable form, in pill or oil form.

As of Jan. 15, there are 87,033 certified patients and 2,139 registered practitioners in the state.

Acreage Holdings, formerly known as High Street Capital Partners, made news when former Republican Speaker of the House John Boehner became an investor after leaving office.",17/01/2019
NewsDay,Nassau's new IG for contracting has fought City Hall before,"Jodi Franzese fought City Hall and vows to bring the same investigative spirit to Nassau County as its first ever inspector general.

As senior inspector general in New York City’s Department of Investigations, Franzese led a probe that showed city officials were involved in a decision to convert a Lower East Side hospice for people with HIV/AIDS into luxury condos.

Her July 2016 report relied on thousands of city documents and records, and interviews with 50 people, including Mayor Bill de Blasio.

The condo conversion came after a developer paid the city to lift a deed restriction requiring the building to be used as a nonprofit residential health care facility.

“It was a huge fight and it was totally on the cover on all of the papers. But we just had to put our heads down and do our job,” Franzese said. “We kept pushing through. People were yelling at us — no one likes oversight, I get it.”

In her new role in Nassau, which began Jan. 3, Franzese will launch the first independent Nassau government agency since the Office of Legislative Budget Review in 1996.

The inspector general's office — which is separate from the county executive — will review, investigate and research contracts with county vendors to ensure political relationships don't influence the contracting process.

County legislators who created the position say Franzese will have “broad powers,” including the ability to issue subpoenas and interview officials under oath.

Sign up for the Power on Trial newsletter Get our insider's look and analysis of the key moments in the Manganos' retrial. By clicking Sign up, you agree to our privacy policy.

In an interview, Franzese she won't be afraid to use such tools make sure taxpayer money isn’t wasted.

“Even the presence of a watchman can change behavior,” said Franzese, 47, of Massapequa.

Franzese's salary is $150,000, according to budget estimates, and her office will receive more than $550,000 for staff. Six new hires should be enough to get the office started, she said.

The appointment of an independent inspector general in Nassau follows several indictments of elected officials in cases involving county contracting.

Former state Senate Majority Leader Dean Skelos of Rockville Centre, was charged with illegally influencing the awarding of a $12 million county contract to a stormwater company that employed his son, Adam.

Skelos was convicted in a retrial in July after his 2015 conviction was overturned on an appeal, and last week began serving a sentence of 4 years and 3 months in prison.

Former Nassau County Executive Edward Mangano and his wife, Linda, were indicted on federal charges in October 2017.

Prosecutors allege they received bribes and kickbacks from restaurateur Harendra Singh, a longtime friend, in exchange for helping Singh obtain contracts and loan guarantees by the Town of Oyster Bay.

Edward Mangano faces seven felony counts, including program bribery, honest-services wire fraud, extortion and conspiracy to obstruct justice. Linda Mangano faces five felony counts, including conspiracy to obstruct justice, obstruction of justice and making false statements to the FBI.

They have pleaded not guilty and their case is scheduled to be retried this month after a mistrial was declared in May.

Also, Mangano's former chief deputy Rob Walker, a former state assemblyman from Hicksville, is awaiting a federal trial scheduled for April for allegedly taking $5,000 in cash from an unnamed Nassau County contractor, according to prosecutors.

Walker pleaded not guilty to charges of obstructing justice and making false statements to the FBI.

In a report in July 2015, Nassau District Attorney Madeline Singas called the county’s process for awarding contracts ""a recipe for corruption.""

Singas found the county’s paper-based contracting system had ""serious systematic deficiencies."" For instance, she said, there was no easy way to cross-check officials' financial disclosure and campaign finance disclosure statements for conflicts of interest with vendors.

Singas later pressed county legislators to create an independent inspector general's office to deal with contracting conflicts.

The GOP-controlled county Legislature agreed to create an inspector general’s office in December 2017, following a pressure campaign by Democrats who declined to provide the votes to authorize county borrowing for expenses other than public safety.

""Unfortunately, we would have liked to see an IG sooner rather than later, which might have prevented some of the financial indiscretions that have been alleged,"" said Minority Leader Legis. Kevan Abrahams (D-Freeport).

Abrahams said a watchdog is important to have no matter who the county executive is because ""it protects the institution."" He said Democrats are confident Franzese ""will be able to stand up to any of the pressures of that office.""

Presiding Officer Richard Nicolello (R-New Hyde Park) said creation of the inspector general's office had bipartisan support.

However, Nicolello during the Mangano administration spoke out against hiring an IG. “If you’re worried about public corruption, the last thing you want to do is create an office with virtually unlimited powers in this county,” he said in May 2017.

Asked recently why he changed his mind, he said he ""wanted to have a clean slate going into 2018,"" when he became presiding officer and Democrat Laura Curran took over as county executive.

Franzese was selected after a monthslong, national search that yielded about 30 prospective candidates. She emerged early as a finalist because of her work in New York City, county legislators said.

At the city Department of Investigation, Francese managed employees including investigators, attorneys and data analysts who conducted confidential investigations into allegations of corruption, official misconduct and fraud.

Franzese's former boss Mark Peters, who left his post as DOI's commissioner in November, called Franzese ""a great investigator. She’s smart. She’s tenacious. She's thorough and Nassau is lucky to have her.""

Under the Nassau County charter, updated last spring to include the inspector general's position, Franzese is authorized to ""eradicate fraud"" and other abuses by elected and appointed county officers, employees and agencies and county vendors, contractors and subcontractors.

However, the IG won't have the power to probe the county legislature or the legislature's independent Office of Budget Review,"" according to the charter.

In a statement, Curran said she looked forward to working with Franzese to ""continue to make Nassau County a model for compliance and good government.""

Curran, who in the final days of her 2017 campaign ran on an anti-corruption platform, said “restoring ethics, trust and transparency in county government has been the cornerstone of my administration.""

Singas spokesman Brendan Brosh called Franzese's hiring ""an incremental step forward.""

""We look forward to partnering with Ms. Franzese and her staff in the future,” Brosh said.

Franzese, who has a law degree from St. John's University, said she began to hone her skills during her 17 years working as a prosecutor in the Suffolk County District Attorney's office, first taking on child-abuse cases and then moving on to white-collar crimes.

Keri Herzog, Suffolk DA's deputy bureau chief for child abuse and domestic violence, said Franzese has ""impeccable integrity"" and a ""very analytical"" mind.

“When you first meet her, you might not realize what kind of legal brain is at work there. She’s also probably one of the funniest attorneys I’ve ever worked with,” Herzog said.

Franzese, a mother of three who is married to Frabrizio Spagnolo, an evolutionary biologist, said she was excited to put her skills to use in her own county. Born and raised in Brooklyn and Queens, she has lived in Massapequa since 2003.

She isn't affiliated with a political party and has no intention of allowing politics to influence her work, she said.

“What’s right is right and what’s wrong is wrong,” Franzese said. “I was raised that way.”",14/01/2019
